STRATO	M1	M2	S1	S2	N	DOM1	COST	CENS	SOLUZ
1	1115.5	1638.9375	1355.43650946783	2115.6560237587	16	1	1	0	7.83091336444417
2	432	462	0	0	1	1	1	0	1
3	233.722222222222	307.611111111111	368.35331473646	560.220540393558	18	1	1	0	2.3941444209666
4	407.621621621622	473.297297297297	723.25610001998	910.958999739539	37	1	1	0	9.66289113044698
5	245.48	274.76	360.016002346672	437.045778945212	25	1	1	0	3.24993796336471
6	224.690476190476	246.880952380952	208.102590578247	246.770774806426	42	1	1	0	3.15602208895467
7	302.583333333333	317.375	456.021405917245	438.98892323032	24	1	1	0	3.95193441056474
8	151.238095238095	147.047619047619	170.667578459672	156.035500392185	21	1	1	0	2
9	250.027027027027	268.513513513513	321.247962333233	330.349081906908	37	1	1	0	4.29195700640507
10	141.653846153846	154.038461538462	94.5614464948176	108.614785555376	26	1	1	0	2
11	510.136363636364	569.045454545455	525.853687154371	629.114666728952	22	1	1	0	4.17734997313267
12	478.28947368421	551	658.780711224381	787.350864004255	38	1	1	0	9.03936095076492
13	243.142857142857	304.047619047619	273.072694452802	482.582802610895	21	1	1	0	2.07066969515362
14	1314.75	1691.375	1519.06389417409	2061.67964703877	8	1	1	0	4.38812798210891
15	3160.38461538462	4843.84615384615	5524.87102409873	10028.74091733	13	1	1	0	13
16	85.5	83.5	65.5	60.5	2	1	1	0	2
17	479.071428571429	480.714285714286	593.931982017334	559.273586146349	14	1	1	0	3.00246535354499
18	762	842	395.27269068328	432.749350086167	2	1	1	0	2
19	216.6	206.4	121.671031885162	129.765952776528	5	1	1	0	2
20	381.392857142857	409.035714285714	488.897157504897	546.731780745045	28	1	1	0	4.94297940268514
21	595.666666666667	719.871794871795	1135.26579653498	1479.53875208316	39	1	1	0	15.9873107948352
22	8411.6	14550.8	10919.9984849816	20524.4584895193	5	1	1	0	5
23	356.619047619047	399.904761904762	537.374427999721	647.736070484889	42	1	1	0	8.14966099216156
24	277.333333333333	318.933333333333	397.642576340259	486.374635745221	15	1	1	0	2.15376043777521
25	380.095238095238	472.428571428571	565.693160546992	796.347469750324	21	1	1	0	4.28956724011893
26	199.714285714286	192.285714285714	103.701316337856	96.3525824929524	7	1	1	0	2
27	2716.75	3281.75	1927.16861613093	2308.36665740086	4	1	1	0	2.78351113574817
28	557.375	630.25	784.256227312302	998.093984333393	8	1	1	0	2.26548515136013
29	213	274.75	185.340130505227	278.569919565637	16	1	1	0	2
30	325	350.857142857143	557.873367241662	624.091325454286	7	1	1	0	2
31	424.142857142857	402.428571428571	415.043759679602	377.040004373487	7	1	1	0	2
32	305.5	332.5	466.991086213832	489.630202543772	14	1	1	0	2.36074937741287
33	126	179.5	16.9705627484771	49.1439212924651	2	1	1	0	2
34	511.5	602	66.1144840409422	96.1665222413705	2	1	1	0	2
